업종,주소,주선인,성공여부,대분류
기초 화학물질 제조업,충청북도 충주시 주덕읍 중원산업로 312,하나증권주식회사,심사승인,제조업3
"구조용 금속제품, 탱크 및 증기발생기 제조업",충청북도 충주시 엄정면 세고개로 154,KB증권㈜,심사승인,제조업1
전자부품 제조업,충청북도 충주시 대소원면 첨단산업9로 10-9,신한투자증권 주식회사,심사중,제조업2
일차전지 및 축전지 제조업,충청북도 충주시 대소원면 메가폴리스로 195,"KB증권㈜,신한투자증권 주식회사",심사승인,제조업1
건물 건설업,충청북도 청주시 흥덕구 직지대로435번길 15(송정동),신한투자증권 주식회사,심사승인,건 설 업
기타 화학제품 제조업,충청북도 청주시 흥덕구 직지대로409번길 37,IBK투자증권㈜,심사승인,제조업3
일반 목적용 기계 제조업,충청북도 청주시 흥덕구 옥산면 과학산업4로 151-5,신영증권㈜,심사중,제조업2
"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",충청북도 청주시 흥덕구 옥산면 과학산업3로 38,KB증권㈜,심사승인,제조업4
전자부품 제조업,충청북도 청주시 흥덕구 옥산면 과학산업1로 82-19,미래에셋증권 주식회사,심사철회,제조업2
반도체 제조업,충청북도 청주시 흥덕구 옥산면 과학산업1로 82-19,미래에셋증권 주식회사,심사승인,제조업1
전자부품 제조업,충청북도 청주시 흥덕구 옥산면 과학산업1로 114,IBK투자증권㈜,심사승인,제조업2
의료용품 및 기타 의약 관련제품 제조업,충청북도 청주시 흥덕구 오송읍 오송생명6로 63,엔에이치투자증권주식회사,심사승인,제조업3
의약품 제조업,충청북도 청주시 흥덕구 오송읍 오송생명1로 197,"미래에셋증권 주식회사,유안타증권㈜",심사승인,제조업3
기타 화학제품 제조업,충청북도 청주시 흥덕구 오송읍 오송생명1로 16,미래에셋증권 주식회사,심사철회,제조업3
기타 금속 가공제품 제조업,충청북도 청주시 흥덕구 2순환로742번길 42,엔에이치투자증권주식회사,심사승인,제조업1
"컴퓨터 프로그래밍, 시스템 통합 및 관리업",충청북도 청주시 청원구 오창읍 연구단지로 40 충북테크노파크 미래융합기술관 302호,한국투자증권㈜,심사승인,정보통신업
전자부품 제조업,충청북도 청주시 청원구 오창읍 양청3길 60,KB증권㈜,심사승인,제조업2
반도체 제조업,충청북도 청주시 청원구 오창읍 과학산업5로 9,한국투자증권㈜,심사승인,제조업1
"그외 기타 전문, 과학 및 기술 서비스업",충청북도 청주시 청원구 오창읍 과학산업2로 587-32,미래에셋증권 주식회사,심사승인,"전문, 과학 및 기술 서비스업"
기타 식품 제조업,충청북도 청주시 청원구 오창읍 각리1길 94,엔에이치투자증권주식회사,심사승인,제조업1
특수 목적용 기계 제조업,충청북도 청주시 청원구 오창읍 각리1길 27,케이비투자증권㈜,심사승인,제조업4
일차전지 및 축전지 제조업,충청북도 청주시 청원구 오창읍 2산단로 100 송대리 329,대신증권㈜,심사승인,제조업1
일차전지 및 축전지 제조업,충청북도 청주시 청원구 오창읍 2산단로 100,"대신증권㈜,하나증권주식회사",심사미승인,제조업1
전자부품 제조업,충청북도 청원군 옥산면 남촌리1112-8,미래에셋증권㈜,심사미승인,제조업2
"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",충청북도 청원군 오창읍 양청송대길 109,KB증권㈜,심사철회,제조업4
기타 식품 제조업,충청북도 청원군 오창읍 각리1길 94,교보증권㈜,심사미승인,제조업1
의약품 제조업,충청북도 청원군 오송읍 오송생명1로 194-41,한국투자증권㈜,심사승인,제조업3
"도축, 육류 가공 및 저장 처리업",충청북도 진천군 이월면 생거진천로 1770,미래에셋증권 주식회사,심사승인,제조업2
플라스틱제품 제조업,충청북도 진천군 이월면 고등1길 27,엔에이치투자증권주식회사,심사승인,제조업1
